Time,Lane,Delay_s,Queue_m,Saturation
1320.0,156084447#2.35_2,119.1,54.6,1.0
1320.0,156084447#2.35_2,300.0,54.6,0.0
1320.0,156084447#2.35_2,300.0,54.6,0.0
1320.0,537517150#2_0,300.0,910.7,6.0
1320.0,537517150#2_1,300.0,673.4,150000.0
1320.0,537517150#2_2,300.0,93.8,30000.0
1320.0,537517150#2_2,300.0,93.8,0.0
1320.0,156084437#2.76_0,300.0,198.45,2.4
1320.0,156084437#2.76_0,300.0,198.45,0.0
1320.0,156084437#2.76_1,300.0,304.85,1.8
1320.0,156084437#2.76_2,166.2,54.25,0.9
1320.0,156084437#2.76_2,300.0,54.25,0.0
1320.0,-156084515#1.105_0,25.96,2.62,0.75
1320.0,-156084515#1.105_0,30.0,0.0,0.0
1320.0,-156084515#1.105_0,30.0,0.0,0.0
1320.0,-156084515#1.105_0,30.0,0.0,0.0
1380.0,156084447#2.35_0,300.0,338.45,2.7
1380.0,156084447#2.35_0,300.0,338.45,0.0
1380.0,156084447#2.35_1,300.0,385.7,1.8
1380.0,156084447#2.35_2,32.66,5.6,0.4
1380.0,156084447#2.35_2,300.0,5.6,0.0
1380.0,156084447#2.35_2,300.0,5.6,0.0
1380.0,537517150#2_0,300.0,889.7,0.0
1380.0,537517150#2_1,300.0,673.4,0.0
1380.0,537517150#2_2,300.0,93.8,0.0
1380.0,537517150#2_2,300.0,93.8,0.0
1380.0,156084437#2.76_0,300.0,219.45,2.7
1380.0,156084437#2.76_0,300.0,219.45,0.0
1380.0,156084437#2.76_1,300.0,304.85,1.8
1380.0,156084437#2.76_2,112.2,33.25,0.9
1380.0,156084437#2.76_2,300.0,33.25,0.0
1380.0,-156084515#1.105_0,20.47,0.52,0.15
1380.0,-156084515#1.105_0,30.0,0.0,0.0
1380.0,-156084515#1.105_0,30.0,0.0,0.0
1380.0,-156084515#1.105_0,30.0,0.0,0.0
1440.0,156084447#2.35_0,300.0,359.45,2.7
1440.0,156084447#2.35_0,300.0,359.45,0.0
1440.0,156084447#2.35_1,300.0,378.7,1.2
1440.0,156084447#2.35_2,25.46,1.4,0.4
1440.0,156084447#2.35_2,30.0,0.0,0.0
1440.0,156084447#2.35_2,30.0,0.0,0.0
1440.0,537517150#2_0,300.0,868.7,0.0
1440.0,537517150#2_1,300.0,673.4,0.0
1440.0,537517150#2_2,300.0,93.8,0.0
1440.0,537517150#2_2,300.0,93.8,0.0
1440.0,156084437#2.76_0,300.0,233.45,2.4
1440.0,156084437#2.76_0,300.0,233.45,0.0
1440.0,156084437#2.76_1,300.0,304.85,1.8
1440.0,156084437#2.76_2,58.2,12.25,0.9
1440.0,156084437#2.76_2,300.0,12.25,0.0
1440.0,-156084515#1.105_0,19.2,0.0,0.0
1440.0,-156084515#1.105_0,30.0,0.0,0.0
1440.0,-156084515#1.105_0,30.0,0.0,0.0
1440.0,-156084515#1.105_0,30.0,0.0,0.0
1500.0,156084447#2.35_0,300.0,380.45,2.7
1500.0,156084447#2.35_0,300.0,380.45,0.0
1500.0,156084447#2.35_1,300.0,385.7,2.4
