Ep 206 | Reward:     39.7 | CriticLoss:   3.1512 | ActorLoss:  -0.0202
Ep 207 | Reward:      2.4 | CriticLoss:   5.2666 | ActorLoss:  -0.0190
Ep 208 | Reward:     84.4 | CriticLoss:  10.5349 | ActorLoss:  -0.0213
Ep 209 | Reward:     23.3 | CriticLoss:   3.5038 | ActorLoss:  -0.0197
Ep 210 | Reward:     73.0 | CriticLoss:   8.2031 | ActorLoss:  -0.0229
Ep 211 | Reward:    -18.7 | CriticLoss:   8.2400 | ActorLoss:  -0.0175
Ep 212 | Reward:     55.2 | CriticLoss:   2.7250 | ActorLoss:  -0.0195
Ep 213 | Reward:     70.7 | CriticLoss:   4.4053 | ActorLoss:  -0.0210
Ep 214 | Reward:     46.0 | CriticLoss:   1.5760 | ActorLoss:  -0.0186
Ep 215 | Reward:     78.1 | CriticLoss:   4.8585 | ActorLoss:  -0.0228
Ep 216 | Reward:     82.4 | CriticLoss:   7.7632 | ActorLoss:  -0.0226
Ep 217 | Reward:     44.0 | CriticLoss:   2.6803 | ActorLoss:  -0.0202
Ep 218 | Reward:     63.6 | CriticLoss:   8.7074 | ActorLoss:  -0.0186
Ep 219 | Reward:     58.4 | CriticLoss:  14.8761 | ActorLoss:  -0.0219
Ep 220 | Reward:     67.8 | CriticLoss:   5.8294 | ActorLoss:  -0.0202
Ep 221 | Reward:     75.0 | CriticLoss:   7.8064 | ActorLoss:  -0.0181
Ep 222 | Reward:    -13.4 | CriticLoss:   6.2924 | ActorLoss:  -0.0162
Ep 223 | Reward:     -1.8 | CriticLoss:   3.9351 | ActorLoss:  -0.0168
Ep 224 | Reward:     89.1 | CriticLoss:   7.8458 | ActorLoss:  -0.0195
Ep 225 | Reward:     73.2 | CriticLoss:   3.2954 | ActorLoss:  -0.0198
Ep 226 | Reward:     66.3 | CriticLoss:  10.0865 | ActorLoss:  -0.0171
Ep 227 | Reward:     61.3 | CriticLoss:   3.2812 | ActorLoss:  -0.0181
Ep 228 | Reward:     -5.5 | CriticLoss:   3.6546 | ActorLoss:  -0.0169
Ep 229 | Reward:     90.8 | CriticLoss:   7.1426 | ActorLoss:  -0.0205
Ep 230 | Reward:     79.2 | CriticLoss:   7.1974 | ActorLoss:  -0.0209
Ep 231 | Reward:     57.7 | CriticLoss:   6.8750 | ActorLoss:  -0.0207
Ep 232 | Reward:     63.4 | CriticLoss:   2.5742 | ActorLoss:  -0.0185
Ep 233 | Reward:     79.3 | CriticLoss:   7.3558 | ActorLoss:  -0.0174
Ep 234 | Reward:     76.8 | CriticLoss:   7.7130 | ActorLoss:  -0.0189
Ep 235 | Reward:     78.7 | CriticLoss:   3.9042 | ActorLoss:  -0.0196
Ep 236 | Reward:     73.6 | CriticLoss:   6.2870 | ActorLoss:  -0.0232
Ep 237 | Reward:      4.2 | CriticLoss:   6.2324 | ActorLoss:  -0.0166
Ep 238 | Reward:     45.0 | CriticLoss:   3.4377 | ActorLoss:  -0.0189
Ep 239 | Reward:     83.6 | CriticLoss:   6.9666 | ActorLoss:  -0.0216
Ep 240 | Reward:     88.2 | CriticLoss:   4.0523 | ActorLoss:  -0.0242
Ep 241 | Reward:     26.7 | CriticLoss:   3.7218 | ActorLoss:  -0.0198
Ep 242 | Reward:     65.4 | CriticLoss:   3.4222 | ActorLoss:  -0.0225
Ep 243 | Reward:     53.3 | CriticLoss:   5.6698 | ActorLoss:  -0.0181
Ep 244 | Reward:     84.7 | CriticLoss:  10.5099 | ActorLoss:  -0.0202
Ep 245 | Reward:     81.3 | CriticLoss:   4.3854 | ActorLoss:  -0.0215
Ep 246 | Reward:    -17.1 | CriticLoss:  11.5354 | ActorLoss:  -0.0175
Ep 247 | Reward:     29.6 | CriticLoss:   2.3707 | ActorLoss:  -0.0169
Ep 248 | Reward:     70.0 | CriticLoss:   6.2755 | ActorLoss:  -0.0241
Ep 249 | Reward:     63.8 | CriticLoss:   4.8923 | ActorLoss:  -0.0217
Ep 250 | Reward:     55.1 | CriticLoss:   2.2286 | ActorLoss:  -0.0196
Ep 251 | Reward:     -3.4 | CriticLoss:   8.6796 | ActorLoss:  -0.0170
Ep 252 | Reward:     66.4 | CriticLoss:   3.9962 | ActorLoss:  -0.0242
Ep 253 | Reward:     63.2 | CriticLoss:   7.7333 | ActorLoss:  -0.0252
Ep 254 | Reward:     84.2 | CriticLoss:   3.8319 | ActorLoss:  -0.0131
Ep 255 | Reward:     85.2 | CriticLoss:   3.2285 | ActorLoss:  -0.0265
Ep 256 | Reward:     80.2 | CriticLoss:   2.9270 | ActorLoss:  -0.0131
Ep 257 | Reward:     82.7 | CriticLoss:   6.9813 | ActorLoss:  -0.0278
